Designator,Mid X,Mid Y,Rotation,Layer
BT1,74.2,-47.95,270.0,top
C1,123.06,-72.81,90.0,bottom
C10,126.06,-72.81,90.0,bottom
C11,127.57,-72.8,90.0,bottom
C12,129.06,-72.8,90.0,bottom
C13,121.7,-62.7,270.0,bottom
C14,123.2,-62.7,270.0,bottom
C15,124.7,-62.7,270.0,bottom
C16,126.2,-62.7,270.0,bottom
C17,131.275,-69.1,0.0,bottom
C18,131.275,-67.6,0.0,bottom
C19,131.275,-66.1,0.0,bottom
C2,120.2,-62.725,270.0,bottom
C20,131.275,-64.6,0.0,bottom
C21,136.085,-71.39,180.0,top
C22,128.88,-63.025,270.0,bottom
C23,136.09,-69.89,0.0,top
C24,160.715,-50.72,0.0,top
C25,76.0875,-87.37,0.0,top
C26,76.1025,-88.86,0.0,top
C27,76.1175,-90.35,0.0,top
C28,72.2675,-87.65,0.0,top
C29,76.4175,-95.13,180.0,top
C3,120.725,-71.7,180.0,bottom
C30,68.2425,-91.25,0.0,top
C31,172.01,-64.08,0.0,bottom
C32,172.01,-62.57,0.0,bottom
C33,98.785,-77.625,0.0,top
C34,101.98,-77.6,180.0,top
C35,135.525,-58.3,0.0,top
C36,135.825,-59.925,180.0,top
C37,135.825,-60.875,0.0,top
C4,131.3,-70.6,0.0,bottom
C5,120.75,-70.2,180.0,bottom
C6,120.725,-68.7,180.0,bottom
C7,120.725,-67.2,180.0,bottom
C8,120.75,-65.7,180.0,bottom
C9,124.56,-72.81,90.0,bottom
D1,87.6625,-47.9,180.0,top
D2,121.595,-40.525,270.0,top
D3,118.555,-40.525,270.0,top
J1,170.33,-46.56,270.0,top
J2,71.15,-66.39,0.0,top
J3,165.04,-63.36,90.0,top
J4,87.16,-91.59,0.0,top
J5,103.99,-85.485,0.0,top
J6,148.76,-91.345,270.0,top
L1,72.555,-89.25,180.0,top
L2,76.3925,-91.99,0.0,top
L3,68.3175,-92.85,180.0,top
R0,160.685,-44.72,0.0,top
R1,131.28,-62.08,180.0,bottom
R10,76.4175,-93.63,0.0,top
R11,70.4725,-95.3,0.0,top
R12,68.2175,-89.75,180.0,top
R13,175.05,-57.56,90.0,bottom
R14,85.095,-84.59,180.0,top
R15,89.735,-84.6,0.0,top
R16,136.75,-62.4,0.0,top
R17,120.74,-44.25,90.0,top
R18,119.24,-44.245,90.0,top
R2,160.685,-43.23,0.0,top
R3,175.06,-68.25,90.0,bottom
R4,160.685,-46.21,0.0,top
R5,160.715,-47.71,0.0,top
R6,160.715,-49.22,0.0,top
R7,72.2675,-86.15,180.0,top
R8,67.2525,-94.52,0.0,top
R9,73.4625,-95.29,0.0,top
SW1,99.76,-41.5,0.0,top
U1,126.0,-67.875,0.0,top
U2,72.2675,-92.35,180.0,top
Y1,138.2,-59.6,270.0,top
Y2,140.645,-70.71,180.0,top
